,account_balance,duration,credit_history,purpose,credit_amount,savings_bond_value,employed_since,intallment_rate,sex_marital,guarantor,residence_since,property,age,other_installment_plans,type_of_housing,nr_of_existing_credits,job,number_of_dependents,telephone,foreign,target,content
811,0-200 DM,6,existing credits paid back duly till now,radio/television,484,< 100 DM,4-7 years,3,male;married/widowed,none,3,real estate,28,bank,own,1,unskilled;resident,1,No,Yes,__label__1,__label__1 0-200 DM 6 existing credits paid back duly till now radio/television 484 < 100 DM 4-7 years 3 male;married/widowed none 3 real estate 28 bank own 1 unskilled;resident 1 No Yes
812,< 0,36,critical account/other credits existing (not at this bank),car(used),9629,< 100 DM,4-7 years,4,male;single,bank,4,car or other,24,none,own,2,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 36 critical account/other credits existing (not at this bank) car(used) 9629 < 100 DM 4-7 years 4 male;single bank 4 car or other 24 none own 2 skilled employee;official 1 Yes Yes
813,< 0,48,existing credits paid back duly till now,domestic appliances,3051,< 100 DM,1-4 years,3,male;single,bank,4,car or other,54,none,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 48 existing credits paid back duly till now domestic appliances 3051 < 100 DM 1-4 years 3 male;single bank 4 car or other 54 none own 1 skilled employee;official 1 No Yes
814,< 0,48,existing credits paid back duly till now,car(new),3931,< 100 DM,4-7 years,4,male;single,bank,4,unknown / no property,46,none,for free,1,skilled employee;official,2,No,Yes,__label__2,__label__2 < 0 48 existing credits paid back duly till now car(new) 3931 < 100 DM 4-7 years 4 male;single bank 4 unknown / no property 46 none for free 1 skilled employee;official 2 No Yes
815,0-200 DM,36,delay in paying off in the past,car(new),7432,< 100 DM,1-4 years,2,female;divorced/separated/married,bank,2,building society savings agreement/life insurance,54,none,rent,1,skilled employee;official,1,No,Yes,__label__1,__label__1 0-200 DM 36 delay in paying off in the past car(new) 7432 < 100 DM 1-4 years 2 female;divorced/separated/married bank 2 building society savings agreement/life insurance 54 none rent 1 skilled employee;official 1 No Yes
816,no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500-1000 DM,1-4 years,1,male;divorced/separated,bank,4,real estate,62,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 6 existing credits paid back duly till now domestic appliances 1338 500-1000 DM 1-4 years 1 male;divorced/separated bank 4 real estate 62 none own 1 skilled employee;official 1 No Yes
817,no checking account,6,critical account/other credits existing (not at this bank),radio/television,1554,< 100 DM,4-7 years,1,female;divorced/separated/married,bank,2,car or other,24,none,rent,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 6 critical account/other credits existing (not at this bank) radio/television 1554 < 100 DM 4-7 years 1 female;divorced/separated/married bank 2 car or other 24 none rent 2 skilled employee;official 1 Yes Yes
818,< 0,36,existing credits paid back duly till now,others,15857,< 100 DM,unemployed,2,male;divorced/separated,stores,3,car or other,43,none,own,1,management/self-employed/highly qualified employee/officer,1,No,Yes,__label__1,__label__1 < 0 36 existing credits paid back duly till now others 15857 < 100 DM unemployed 2 male;divorced/separated stores 3 car or other 43 none own 1 management/self-employed/highly qualified employee/officer 1 No Yes
819,< 0,18,existing credits paid back duly till now,radio/television,1345,< 100 DM,1-4 years,4,male;married/widowed,bank,3,real estate,26,bank,own,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now radio/television 1345 < 100 DM 1-4 years 4 male;married/widowed bank 3 real estate 26 bank own 1 skilled employee;official 1 No Yes
820,no checking account,12,existing credits paid back duly till now,car(new),1101,< 100 DM,1-4 years,3,male;married/widowed,bank,2,real estate,27,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now car(new) 1101 < 100 DM 1-4 years 3 male;married/widowed bank 2 real estate 27 none own 2 skilled employee;official 1 Yes Yes
821,>=200 DM,12,existing credits paid back duly till now,radio/television,3016,< 100 DM,1-4 years,3,male;married/widowed,bank,1,car or other,24,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 >=200 DM 12 existing credits paid back duly till now radio/television 3016 < 100 DM 1-4 years 3 male;married/widowed bank 1 car or other 24 none own 1 skilled employee;official 1 No Yes
822,< 0,36,existing credits paid back duly till now,furniture/equipment,2712,< 100 DM,>=7 years,2,male;single,bank,2,building society savings agreement/life insurance,41,bank,own,1,skilled employee;official,2,No,Yes,__label__2,__label__2 < 0 36 existing credits paid back duly till now furniture/equipment 2712 < 100 DM >=7 years 2 male;single bank 2 building society savings agreement/life insurance 41 bank own 1 skilled employee;official 2 No Yes
823,< 0,8,critical account/other credits existing (not at this bank),car(new),731,< 100 DM,>=7 years,4,male;single,bank,4,real estate,47,none,own,2,unskilled;resident,1,No,Yes,__label__1,__label__1 < 0 8 critical account/other credits existing (not at this bank) car(new) 731 < 100 DM >=7 years 4 male;single bank 4 real estate 47 none own 2 unskilled;resident 1 No Yes
824,no checking account,18,critical account/other credits existing (not at this bank),furniture/equipment,3780,< 100 DM,<1 year,3,male;divorced/separated,bank,2,car or other,35,none,own,2,management/self-employed/highly qualified employee/officer,1,Yes,Yes,__label__1,__label__1 no checking account 18 critical account/other credits existing (not at this bank) furniture/equipment 3780 < 100 DM <1 year 3 male;divorced/separated bank 2 car or other 35 none own 2 management/self-employed/highly qualified employee/officer 1 Yes Yes
825,< 0,21,critical account/other credits existing (not at this bank),car(new),1602,< 100 DM,>=7 years,4,male;married/widowed,bank,3,car or other,30,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 < 0 21 critical account/other credits existing (not at this bank) car(new) 1602 < 100 DM >=7 years 4 male;married/widowed bank 3 car or other 30 none own 2 skilled employee;official 1 Yes Yes
826,< 0,18,critical account/other credits existing (not at this bank),car(new),3966,< 100 DM,>=7 years,1,female;divorced/separated/married,bank,4,real estate,33,bank,rent,3,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 18 critical account/other credits existing (not at this bank) car(new) 3966 < 100 DM >=7 years 1 female;divorced/separated/married bank 4 real estate 33 bank rent 3 skilled employee;official 1 Yes Yes
827,no checking account,18,no credits taken/all credits paid back duly,business,4165,< 100 DM,1-4 years,2,male;single,bank,2,car or other,36,stores,own,2,skilled employee;official,2,No,Yes,__label__2,__label__2 no checking account 18 no credits taken/all credits paid back duly business 4165 < 100 DM 1-4 years 2 male;single bank 2 car or other 36 stores own 2 skilled employee;official 2 No Yes
828,< 0,36,existing credits paid back duly till now,car(used),8335,unknown/no savings account,>=7 years,3,male;single,bank,4,unknown / no property,47,none,for free,1,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 36 existing credits paid back duly till now car(used) 8335 unknown/no savings account >=7 years 3 male;single bank 4 unknown / no property 47 none for free 1 skilled employee;official 1 No Yes
829,0-200 DM,48,delay in paying off in the past,business,6681,unknown/no savings account,1-4 years,4,male;single,bank,4,unknown / no property,38,none,for free,1,skilled employee;official,2,Yes,Yes,__label__1,__label__1 0-200 DM 48 delay in paying off in the past business 6681 unknown/no savings account 1-4 years 4 male;single bank 4 unknown / no property 38 none for free 1 skilled employee;official 2 Yes Yes
830,no checking account,24,delay in paying off in the past,business,2375,500-1000 DM,1-4 years,4,male;single,bank,2,car or other,44,none,own,2,skilled employee;official,2,Yes,Yes,__label__1,__label__1 no checking account 24 delay in paying off in the past business 2375 500-1000 DM 1-4 years 4 male;single bank 2 car or other 44 none own 2 skilled employee;official 2 Yes Yes
831,< 0,18,existing credits paid back duly till now,car(new),1216,< 100 DM,<1 year,4,female;divorced/separated/married,bank,3,car or other,23,none,rent,1,skilled employee;official,1,Yes,Yes,__label__2,__label__2 < 0 18 existing credits paid back duly till now car(new) 1216 < 100 DM <1 year 4 female;divorced/separated/married bank 3 car or other 23 none rent 1 skilled employee;official 1 Yes Yes
832,< 0,45,no credits taken/all credits paid back duly,business,11816,< 100 DM,>=7 years,2,male;single,bank,4,car or other,29,none,rent,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 45 no credits taken/all credits paid back duly business 11816 < 100 DM >=7 years 2 male;single bank 4 car or other 29 none rent 2 skilled employee;official 1 No Yes
833,0-200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/no savings account,>=7 years,2,female;divorced/separated/married,bank,4,car or other,42,none,own,1,skilled employee;official,1,Yes,Yes,__label__1,__label__1 0-200 DM 24 existing credits paid back duly till now radio/television 5084 unknown/no savings account >=7 years 2 female;divorced/separated/married bank 4 car or other 42 none own 1 skilled employee;official 1 Yes Yes
834,>=200 DM,15,existing credits paid back duly till now,radio/television,2327,< 100 DM,<1 year,2,female;divorced/separated/married,bank,3,real estate,25,none,own,1,unskilled;resident,1,No,Yes,__label__2,__label__2 >=200 DM 15 existing credits paid back duly till now radio/television 2327 < 100 DM <1 year 2 female;divorced/separated/married bank 3 real estate 25 none own 1 unskilled;resident 1 No Yes
835,< 0,12,no credits taken/all credits paid back duly,car(new),1082,< 100 DM,1-4 years,4,male;single,bank,4,car or other,48,bank,own,2,skilled employee;official,1,No,Yes,__label__2,__label__2 < 0 12 no credits taken/all credits paid back duly car(new) 1082 < 100 DM 1-4 years 4 male;single bank 4 car or other 48 bank own 2 skilled employee;official 1 No Yes
836,no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/no savings account,1-4 years,4,female;divorced/separated/married,bank,2,car or other,21,none,own,1,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 12 existing credits paid back duly till now radio/television 886 unknown/no savings account 1-4 years 4 female;divorced/separated/married bank 2 car or other 21 none own 1 skilled employee;official 1 No Yes
837,no checking account,4,existing credits paid back duly till now,furniture/equipment,601,< 100 DM,<1 year,1,female;divorced/separated/married,bank,3,real estate,23,none,rent,1,unskilled;resident,2,No,Yes,__label__1,__label__1 no checking account 4 existing credits paid back duly till now furniture/equipment 601 < 100 DM <1 year 1 female;divorced/separated/married bank 3 real estate 23 none rent 1 unskilled;resident 2 No Yes
838,< 0,24,critical account/other credits existing (not at this bank),car(used),2957,< 100 DM,>=7 years,4,male;single,bank,4,building society savings agreement/life insurance,63,none,own,2,skilled employee;official,1,Yes,Yes,__label__1,__label__1 < 0 24 critical account/other credits existing (not at this bank) car(used) 2957 < 100 DM >=7 years 4 male;single bank 4 building society savings agreement/life insurance 63 none own 2 skilled employee;official 1 Yes Yes
839,no checking account,24,critical account/other credits existing (not at this bank),radio/television,2611,< 100 DM,>=7 years,4,male;married/widowed,stores,3,real estate,46,none,own,2,skilled employee;official,1,No,Yes,__label__1,__label__1 no checking account 24 critical account/other credits existing (not at this bank) radio/television 2611 < 100 DM >=7 years 4 male;married/widowed stores 3 real estate 46 none own 2 skilled employee;official 1 No Yes
